RegistryDate_year,RegistryDate_month,RegistryDate_day,ExpirationDate_year,ExpirationDate_month,ExpirationDate_day,HostCountry,DomainAge
2008,8,2,2020,8,2,PA,4278
2010,6,22,2023,6,22,CN,3589
2013,12,9,2020,8,31,US,2323
2015,6,17,2025,6,17,BS,1768
2010,6,22,2023,6,22,CN,3589
2001,5,11,2027,5,11,US,6918
2010,6,22,2020,6,22,US,3589
2008,10,8,2020,10,8,PA,4211
1999,10,27,2020,10,26,US,7480
2018,6,25,2020,6,25,CN,664
2010,6,22,2023,6,22,CN,3589
2010,6,22,2023,6,22,CN,3589
2004,11,19,2021,11,19,PA,5630
2010,6,22,2023,6,22,CN,3589
2010,6,22,2020,6,22,US,3589
2019,2,6,2021,2,6,VN,438
2011,4,14,2022,4,14,US,3293
2010,6,22,2028,6,17,US,3589
2012,4,1,2021,4,1,CN,2940
2010,6,22,2023,6,22,CN,3589
2013,3,19,2021,3,19,EG,2588
2010,4,4,2020,4,4,IL,3668
2010,6,22,2023,6,22,CN,3589
2002,5,20,2023,5,20,IN,6544
2010,6,22,2023,6,22,CN,3589
2011,2,19,2023,2,19,PA,3347
2008,6,25,2020,6,25,CN,4316
2010,6,22,2020,6,22,US,3589
1993,9,30,2025,9,29,US,9698
2010,6,22,2020,6,22,US,3589
2010,6,22,2023,6,22,CN,3589
2019,4,10,2020,4,10,REDACTED FOR PRIVACY,375
2010,6,22,2023,6,22,CN,3589
2005,10,1,2020,10,1,DK,5314
2010,6,22,2023,6,22,CN,3589
2010,6,22,2020,6,22,US,3589
2017,8,6,2020,8,6,US,987
2011,4,29,2020,4,29,US,3278
2006,3,22,2020,8,22,US,5142
2010,6,22,2023,6,22,CN,3589
1998,9,10,2021,9,9,US,7892
2010,6,22,2020,6,22,US,3589
1995,7,16,2021,7,15,US,9044
2011,6,21,2020,6,21,DE,3225
2010,6,22,2020,6,22,US,3589
2009,12,21,2020,12,21,CN,3772
2015,2,9,2021,2,9,FR,1896
1996,5,1,2021,5,2,US,8754
1998,5,27,2020,5,26,US,7998
2014,7,4,2021,7,4,CN,2116
1993,9,30,2025,9,29,US,9698
2010,6,22,2020,6,22,US,3589
1999,3,1,2021,3,1,US,7720
2010,6,22,2020,6,22,US,3589
2013,4,21,2021,4,21,GB,2555
2001,7,13,2025,11,9,TR,6855
2010,6,22,2020,6,22,US,3589
2015,6,8,2020,6,8,US,1777
2016,1,4,2021,1,4,US,1567
2014,7,4,2021,7,4,CN,2116
2013,1,29,2021,1,29,US,2637
2017,8,6,2020,8,6,US,987
2015,3,24,2021,3,24,US,1853
2014,2,25,2024,2,25,US,2245
2010,6,22,2023,6,22,CN,3589
2014,4,2,2020,4,2,CN,2209
2010,6,22,2023,6,22,CN,3589
1993,5,13,2020,5,14,US,9838
2010,6,22,2023,6,22,CN,3589
2000,1,21,2021,1,21,US,7394
2014,4,2,2020,4,2,CN,2209
2015,2,9,2021,2,9,FR,1896
2010,6,22,2020,6,22,US,3589
2010,6,22,2023,6,22,CN,3589
2010,6,22,2023,6,22,CN,3589
2010,6,22,2020,6,22,US,3589
2010,6,22,2023,6,22,CN,3589
2010,6,22,2023,6,22,CN,3589
2010,6,22,2020,6,22,US,3589
2014,11,3,2021,11,3,US,1994
2002,4,21,2020,4,21,CN,6573
2010,6,22,2020,6,22,US,3589
2012,3,6,2021,3,6,CN,2966
2000,1,21,2021,1,21,US,7394
2010,6,22,2020,6,22,US,3589
2000,8,24,2020,8,24,US,7178
2008,8,2,2020,8,2,PA,4278
2014,7,4,2021,7,4,CN,2116
2010,6,22,2020,6,22,US,3589
2008,8,2,2020,8,2,PA,4278
2010,6,22,2023,6,22,CN,3589
1997,10,1,2020,10,31,US,8236
2001,1,19,2021,1,19,JP,7030
2012,7,10,2021,7,10,REDACTED FOR PRIVACY,2840
1998,7,11,2020,7,10,US,7953
2007,2,26,2022,2,26,REDACTED FOR PRIVACY,4801
2005,6,10,2021,6,10,US,5427
2005,7,19,2026,7,19,US,5388
2010,6,22,2020,6,22,US,3589
1991,9,23,2025,9,22,RU,10436
2011,4,29,2020,4,29,US,3278
2010,6,22,2023,6,22,CN,3589
2010,6,22,2023,6,22,CN,3589
1998,5,13,2020,5,12,FR,8012
2010,6,22,2020,6,22,US,3589
2019,10,28,2020,10,28,KY,174
2014,11,3,2021,11,3,US,1994
2010,6,22,2020,6,22,US,3589
2010,6,22,2020,6,22,US,3589
2004,6,20,2020,6,20,US,5782
2009,2,7,2028,2,7,REDACTED FOR PRIVACY,4089
2010,6,22,2020,6,22,US,3589
2010,11,23,2020,11,23,US,3435
2003,10,12,2021,10,12,US,6034
2010,4,4,2020,4,4,IL,3668
2010,6,22,2028,6,17,US,3589
2009,12,21,2020,12,21,CN,3772
2010,6,22,2020,6,22,US,3589
2012,3,6,2021,3,6,CN,2966
2007,11,27,2021,11,27,AU,4527
2010,6,22,2023,6,22,CN,3589
1999,5,3,2020,5,3,JP,7657
2006,3,22,2020,8,22,US,5142
2010,6,22,2020,6,22,US,3589
2002,4,3,2021,4,3,CN,6591
2010,6,22,2020,6,22,US,3589
2008,8,2,2020,8,2,PA,4278
2010,6,22,2023,6,22,CN,3589
1996,9,29,2020,9,28,US,8603
2010,6,22,2023,6,22,CN,3589
1995,7,16,2021,7,15,US,9044
2010,4,4,2020,4,4,IL,3668
2010,6,22,2020,6,22,US,3589
2010,6,22,2020,6,22,US,3589
2012,12,28,2026,12,28,US,2669
2018,6,25,2020,6,25,CN,664
1993,9,30,2025,9,29,US,9698
2003,10,12,2021,10,12,US,6034
2006,2,22,2021,2,22,NL,5170
2013,12,9,2020,8,31,US,2323
2011,4,14,2022,4,14,US,3293
2010,6,22,2023,6,22,CN,3589
2011,11,28,2020,11,28,ZA,3065
2013,6,16,2021,6,16,US,2499
2014,9,26,2020,9,26,CN,2032
2016,8,15,2020,8,15,US,1343
1995,3,23,2021,2,7,US,9159
2009,12,21,2020,12,21,CN,3772
2009,3,15,2021,3,15,US,4053
1998,1,9,2021,1,8,US,8136
2010,6,22,2023,6,22,CN,3589
2012,6,26,2020,6,26,REDACTED FOR PRIVACY,2854
2013,3,19,2021,3,19,EG,2588
2010,6,22,2023,6,22,CN,3589
2013,12,9,2020,8,31,US,2323
2010,6,22,2020,6,22,US,3589
2003,10,12,2021,10,12,US,6034
2015,6,8,2020,6,8,US,1777
2004,7,23,2020,7,23,ca,5749
2014,3,31,2023,3,31,US,2211
1995,7,16,2021,7,15,US,9044
2008,3,13,2021,3,13,US,4420
2008,9,16,2020,9,19,US,4233
2005,5,11,2020,5,11,US,5457
2010,6,22,2020,6,22,US,3589
2013,1,29,2021,1,29,US,2637
2004,6,14,2020,6,14,US,5788
1996,5,1,2021,5,2,US,8754
2019,8,13,2020,8,13,US,250
2005,7,19,2026,7,19,US,5388
2010,6,22,2020,6,22,US,3589
2009,10,29,2021,10,29,AU,3825
2003,12,26,2021,2,2,US,5959
2013,3,19,2021,3,19,EG,2588
2016,6,27,2020,6,27,IN,1392
2000,2,20,2028,12,29,PA,7364
2010,6,22,2020,6,22,US,3589
2010,12,3,2023,12,3,BS,3425
2001,10,21,2020,10,21,US,6755
2010,6,22,2023,6,22,CN,3589
2014,9,26,2020,9,26,CN,2032
2010,5,6,2029,5,6,CN,3636
2010,8,9,2021,8,9,CN,3541
1995,11,1,2021,2,2,US,8936
2010,6,22,2020,6,22,US,3589
2013,3,19,2021,3,19,EG,2588
2010,6,22,2023,6,22,CN,3589
2010,6,22,2020,6,22,US,3589
2012,7,10,2021,7,10,REDACTED FOR PRIVACY,2840
2010,6,22,2023,6,22,CN,3589
1999,12,2,2020,12,2,US,7444
2011,4,29,2020,4,29,US,3278
1993,9,30,2025,9,29,US,9698
2020,3,5,2021,3,5,CN,45
2010,6,22,2020,6,22,US,3589
2010,6,22,2020,6,22,US,3589
2013,1,29,2021,1,29,US,2637
2000,1,20,2029,1,20,US,7395
2010,6,22,2020,6,22,US,3589
2019,4,10,2020,4,10,REDACTED FOR PRIVACY,375
2011,11,28,2020,11,28,ZA,3065
2014,9,26,2020,9,26,CN,2032
2009,2,7,2028,2,7,REDACTED FOR PRIVACY,4089
2005,7,20,2021,7,20,REDACTED FOR PRIVACY,5387
2000,1,21,2021,1,21,US,7394
2010,6,22,2023,6,22,CN,3589
2010,6,22,2020,6,22,US,3589
2010,4,4,2020,4,4,IL,3668
2000,3,8,2021,3,8,CA,7347
2019,9,25,2020,9,25,US,207
2010,6,22,2020,6,22,US,3589
2013,3,19,2021,3,19,EG,2588
2004,11,19,2021,11,19,PA,5630
2004,7,15,2020,7,15,US,5757
1991,7,25,2028,7,24,US,10496
2010,6,22,2023,6,22,CN,3589
2010,12,3,2023,12,3,BS,3425
2010,6,22,2023,6,22,CN,3589
2010,6,22,2020,6,22,US,3589
2003,8,29,2023,8,29,CN,6078
2012,7,19,2020,7,19,RU,2831
1999,4,12,2028,4,12,JP,7678
2010,6,22,2023,6,22,CN,3589
1994,6,2,2021,6,1,US,9453
1997,10,5,2020,10,4,US,8232
1999,12,2,2020,12,2,US,7444
2009,4,3,2021,4,3,US,4034
2010,6,22,2023,6,22,CN,3589
2009,12,21,2020,12,21,CN,3772
2003,8,29,2023,8,29,CN,6078
2005,6,10,2021,6,10,US,5427
1999,3,28,2028,3,28,TR,7693
2010,6,22,2023,6,22,CN,3589
2018,4,7,2020,4,7,US,743
2010,6,22,2020,6,22,US,3589
2010,6,22,2023,6,22,CN,3589
2013,12,9,2020,8,31,US,2323
2010,6,22,2020,6,22,US,3589
2001,5,17,2020,5,17,CN,6912
2010,6,22,2023,6,22,CN,3589
2013,3,19,2021,3,19,EG,2588
2010,12,3,2023,12,3,BS,3425
2008,3,19,2020,10,22,US,4414
2017,9,22,2020,9,22,IN,940
1991,7,25,2028,7,24,US,10496
2020,2,16,2025,2,16,AE,63
2010,6,22,2020,6,22,US,3589
2010,6,22,2023,6,22,CN,3589
2010,6,22,2023,6,22,CN,3589
2010,6,22,2023,6,22,CN,3589
2017,8,6,2020,8,6,US,987
2003,8,29,2023,8,29,CN,6078
1993,9,30,2025,9,29,US,9698
2010,1,30,2021,1,30,US,3732
2003,8,29,2023,8,29,CN,6078
2010,6,22,2023,6,22,CN,3589
2010,6,22,2020,6,22,US,3589
2010,6,22,2020,6,22,US,3589
2011,4,29,2020,4,29,US,3278
2014,11,3,2021,11,3,US,1994
1991,5,2,2021,5,3,US,10580
2010,6,22,2023,6,22,CN,3589
2008,3,13,2021,3,13,US,4420
2002,9,9,2021,9,9,GI,6432
2010,6,22,2023,6,22,CN,3589
2005,6,10,2021,6,10,US,5427
2013,1,29,2021,1,29,US,2637
2011,4,29,2020,4,29,US,3278
2009,12,21,2020,12,21,CN,3772
2010,6,22,2023,6,22,CN,3589
2009,10,29,2021,10,29,AU,3825
2011,8,30,2025,8,30,US,3155
2010,4,4,2020,4,4,IL,3668
2017,5,20,2020,5,20,REDACTED FOR PRIVACY,1065
2010,6,22,2020,6,22,US,3589
2003,12,26,2021,2,2,US,5959
2010,6,22,2023,6,22,CN,3589
2006,3,22,2020,8,22,US,5142
2010,6,22,2023,6,22,CN,3589
2011,11,28,2020,11,28,ZA,3065
2010,6,22,2023,6,22,CN,3589
2006,11,10,2020,11,10,US,4909
2015,6,8,2020,6,8,US,1777
2004,6,14,2020,6,14,US,5788
2017,8,6,2020,8,6,US,987
2013,2,27,2021,2,27,US,2608
2013,1,29,2021,1,29,US,2637
2010,6,22,2023,6,22,CN,3589
2010,6,22,2023,6,22,CN,3589
1995,7,16,2021,7,15,US,9044
2010,6,22,2020,6,22,US,3589
2010,6,22,2020,6,22,US,3589
2010,6,22,2020,6,22,US,3589
2010,6,22,2023,6,22,CN,3589
2010,6,22,2020,6,22,US,3589
2010,6,22,2023,6,22,CN,3589
2013,3,19,2021,3,19,EG,2588
2010,6,22,2023,6,22,CN,3589
2010,6,22,2023,6,22,CN,3589
2010,6,22,2020,6,22,US,3589
1999,8,8,2020,8,8,US,7560
2003,9,11,2020,9,11,IN,6065
2010,6,22,2023,6,22,CN,3589
2004,11,19,2021,11,19,PA,5630
2014,11,3,2021,11,3,US,1994
2010,6,22,2020,6,22,US,3589
2006,11,1,2028,11,17,US,4918
1993,9,30,2025,9,29,US,9698
2010,6,22,2023,6,22,CN,3589
1995,5,5,2023,5,6,US,9116
2001,12,31,2024,12,31,US,6684
1999,8,8,2020,8,8,US,7560
2014,7,5,2021,7,5,US,2115
2009,12,21,2020,12,21,CN,3772
2010,6,22,2023,6,22,CN,3589
2010,4,4,2020,4,4,IL,3668
2006,11,1,2028,11,17,US,4918
2010,4,4,2020,4,4,IL,3668
2011,11,28,2020,11,28,ZA,3065
2008,5,3,2023,5,3,CN,4369
2012,7,10,2021,7,10,REDACTED FOR PRIVACY,2840
2010,6,22,2020,6,22,US,3589
2000,8,15,2022,8,15,US,7187
2019,10,26,2020,10,26,UA,176
2008,9,16,2020,9,19,US,4233
2004,6,14,2020,6,14,US,5788
1999,8,8,2020,8,8,US,7560
2017,8,6,2020,8,6,US,987
1993,9,30,2025,9,29,US,9698
2008,7,12,2021,2,23,US,4299
2011,4,29,2020,4,29,US,3278
2008,3,13,2021,3,13,US,4420
2010,6,22,2023,6,22,CN,3589
2010,6,22,2020,6,22,US,3589
2011,4,29,2020,4,29,US,3278
1998,9,10,2021,9,9,US,7892
2019,10,11,2020,10,11,US,191
2008,8,2,2020,8,2,PA,4278
2010,6,22,2023,6,22,CN,3589
2010,6,22,2023,6,22,CN,3589
2004,6,14,2020,6,14,US,5788
2020,3,5,2021,3,5,CN,45
2015,6,8,2020,6,8,US,1777
2010,6,22,2020,6,22,US,3589
2008,7,12,2021,2,23,US,4299
2004,9,3,2020,9,3,US,5707
2005,2,15,2021,2,15,US,5542
2003,8,29,2023,8,29,CN,6078
2010,6,22,2020,6,22,US,3589
2006,3,22,2020,8,22,US,5142
2006,2,22,2021,2,22,NL,5170
1993,9,30,2025,9,29,US,9698
2010,6,22,2023,6,22,CN,3589
2019,4,10,2020,4,10,REDACTED FOR PRIVACY,375
2004,9,8,2020,9,8,US,5702
2003,4,9,2020,4,9,DE,6220
2008,8,2,2020,8,2,PA,4278
2010,6,22,2023,6,22,CN,3589
2006,2,22,2021,2,22,NL,5170
1998,7,8,2020,7,7,JP,7956
2010,6,22,2020,6,22,US,3589
2013,12,9,2020,8,31,US,2323
2010,6,22,2023,6,22,CN,3589
2020,1,21,2021,1,21,PH,89
2014,11,3,2021,11,3,US,1994
2010,6,22,2023,6,22,CN,3589
2012,3,6,2021,3,6,CN,2966
1996,8,30,2024,8,29,US,8633
2010,6,22,2023,6,22,CN,3589
2010,7,30,2021,2,2,US,3551
2010,6,22,2020,6,22,US,3589
2010,12,3,2023,12,3,BS,3425
2010,6,22,2020,6,22,US,3589
2006,11,10,2020,11,10,US,4909
2004,9,8,2020,9,8,US,5702
2014,4,2,2020,4,2,CN,2209
2004,7,23,2020,7,23,ca,5749
2010,6,22,2020,6,22,US,3589
2013,3,19,2021,3,19,EG,2588
2010,6,22,2023,6,22,CN,3589
2010,6,22,2020,6,22,US,3589
2010,6,22,2023,6,22,CN,3589
2013,8,16,2021,8,16,HK,2438
