,RegistryDate,ExpirationDate,HostCountry,DomainAge,ExpYear,ExpMonth,ExpDay,URLType
0,2004-11-19 05:50:20,2021-11-19 05:50:20,PA,5594,2021.0,11.0,19.0,0
1,,,US,0,,,,0
2,,,US,0,,,,0
3,2016-06-27 04:48:43,2020-06-27 04:48:43,IN,1356,2020.0,6.0,27.0,1
4,,,FR,0,,,,0
5,,,US,0,,,,0
6,1998-01-09 05:00:00,,US,8100,,,,0
7,,,,0,0.0,0.0,0.0,0
8,,,US,0,,,,0
9,,,US,0,,,,0
10,2008-03-19 18:43:06,2020-10-22 03:59:59,US,4377,2020.0,10.0,22.0,0
11,,,,0,,,,0
12,,,PA,0,,,,0
13,,,US,0,,,,0
14,,,,0,,,,0
15,,,US,0,,,,0
16,,,CN,0,,,,1
17,,,,0,0.0,0.0,0.0,1
18,,,US,0,,,,0
19,2013-02-27 09:47:42,,,2572,,,,0
20,,,IN,0,,,,0
21,2011-04-29 11:29:16,2020-04-29 11:29:16,US,3242,2020.0,4.0,29.0,0
22,,,CN,0,,,,1
23,,,,0,,,,1
24,,,CH,0,,,,0
25,,,,0,,,,0
26,,,CN,0,,,,1
27,,,IN,0,,,,0
28,,,,0,0.0,0.0,0.0,0
29,2019-08-27 12:01:44,2020-08-27 12:01:44,,200,2020.0,8.0,27.0,1
30,,,,0,0.0,0.0,0.0,0
31,,,,0,,,,0
32,2004-11-19 05:50:20,2021-11-19 05:50:20,PA,5594,2021.0,11.0,19.0,0
33,,,,0,0.0,0.0,0.0,0
34,,,CN,0,,,,1
35,,,BS,0,,,,0
36,,,AE,0,,,,1
37,,,IL,0,,,,0
38,,,,0,,,,0
39,,,US,0,,,,0
40,,,US,0,,,,0
41,,,,0,0.0,0.0,0.0,0
42,,,CN,0,,,,1
43,,,CN,0,,,,1
44,,,US,0,,,,0
45,,,,0,,,,0
46,2011-04-29 11:29:16,2020-04-29 11:29:16,US,3242,2020.0,4.0,29.0,0
47,,,PA,0,,,,0
48,,,,0,,,,0
49,,,US,0,,,,1
50,2001-10-21 19:11:37,,US,6718,,,,0
51,,,,0,,,,0
52,1996-08-30 04:00:00,2024-08-29 04:00:00,US,8597,2024.0,8.0,29.0,0
53,,,US,0,,,,0
54,,,,0,,,,0
55,,,CN,0,,,,1
56,,,,0,0.0,0.0,0.0,1
57,,,US,0,,,,0
58,1997-04-10 04:00:00,,IN,8374,,,,0
59,,,,0,,,,0
60,,2020-06-08 06:40:44,US,0,2020.0,6.0,8.0,1
61,,,US,0,,,,0
62,,,US,0,,,,0
63,,,BS,0,,,,0
64,,,CN,0,,,,1
65,,,US,0,,,,0
66,,,CN,0,,,,1
67,,,CN,0,,,,1
68,,,PA,0,,,,0
69,,,,0,,,,1
70,2012-07-19 22:45:03,2020-07-19 22:45:03,RU,2794,2020.0,7.0,19.0,1
71,,,CN,0,,,,1
72,2009-10-22 02:06:38,2022-10-22 02:06:38,,3796,2022.0,10.0,22.0,1
73,,,IN,0,,,,0
74,,,CN,0,,,,1
75,2004-06-27 18:28:40,,CN,5738,,,,0
76,,,AE,0,,,,1
77,,,US,0,,,,0
78,,,,0,,,,0
79,,,US,0,,,,0
80,1999-09-29 06:03:23,2020-09-29 06:03:14,US,7472,2020.0,9.0,29.0,0
81,,,,0,,,,0
82,2008-03-19 18:43:06,2020-10-22 03:59:59,US,4377,2020.0,10.0,22.0,0
83,,,US,0,,,,0
84,,,US,0,,,,0
85,,,,0,0.0,0.0,0.0,0
86,,,,0,,,,0
87,,,US,0,,,,0
88,,,US,0,,,,0
89,,,,0,,,,1
90,,,,0,0.0,0.0,0.0,0
91,,,TR,0,,,,0
92,2005-07-19 14:50:34,,US,5352,,,,0
93,,,US,0,,,,0
94,,,US,0,,,,0
95,,,,0,0.0,0.0,0.0,0
96,,,CN,0,,,,1
97,,,,0,0.0,0.0,0.0,1
98,,,CN,0,,,,1
99,,,CN,0,,,,1
100,,,REDACTED FOR PRIVACY,0,,,,0
101,,,US,0,,,,0
102,,,CN,0,,,,1
103,,,US,0,,,,1
104,2000-01-21 16:28:17,,US,7357,,,,0
105,,,US,0,,,,0
106,,,US,0,,,,0
107,2003-10-12 22:23:19,2021-10-12 22:23:19,US,5997,2021.0,10.0,12.0,1
108,,,CN,0,,,,1
109,,,,0,,,,1
110,,,,0,,,,1
111,,,,0,0.0,0.0,0.0,0
112,,,,0,0.0,0.0,0.0,0
