URLLength,HostLength,TLDLength,DotCount,DashCount,@Count,%Count,=Count,?Count,DigitCount,UniqueCharCount,URLType
93,10,3,1,7,0,0,0,0,6,30,0
116,7,3,1,14,0,0,0,0,6,29,0
83,17,3,3,0,0,0,1,1,0,26,0
196,13,3,1,3,0,57,0,0,51,27,1
91,11,3,2,5,0,0,4,1,5,41,0
91,6,3,1,12,0,0,0,0,6,31,0
99,11,3,2,6,0,0,0,0,3,27,0
91,15,3,2,12,0,0,0,0,5,25,0
97,15,3,1,7,0,0,0,0,6,27,0
112,10,3,2,0,0,0,9,1,5,31,0
104,12,3,1,3,0,0,1,1,20,35,0
181,11,2,2,8,0,7,3,1,29,44,0
104,8,3,1,17,0,0,0,0,0,24,0
106,10,3,2,0,0,0,9,1,4,29,0
83,9,2,1,0,0,0,0,0,9,29,0
84,11,3,1,6,0,0,0,0,8,30,0
81,9,4,1,0,0,21,0,0,22,22,1
92,11,3,1,8,0,0,0,0,0,24,1
118,13,3,1,15,0,0,0,0,10,32,0
83,6,2,2,1,0,16,0,0,16,29,0
105,13,3,2,5,0,0,1,1,17,33,0
142,12,3,10,0,0,0,1,1,35,43,0
88,14,3,2,0,0,0,5,1,5,30,1
78,18,2,3,2,0,0,0,0,11,32,1
87,10,3,1,0,0,0,3,1,0,24,0
148,6,2,1,10,0,0,0,0,1,21,0
69,9,4,1,0,0,16,0,0,22,22,1
102,13,3,2,5,0,0,0,0,0,25,0
111,15,6,3,17,0,0,0,0,6,27,0
91,14,3,3,0,0,0,3,1,16,34,1
181,16,6,4,3,0,0,5,1,9,42,0
98,11,2,2,5,0,0,1,1,3,26,0
87,10,3,1,10,0,0,0,0,6,28,0
100,9,2,2,13,0,0,0,0,27,30,0
81,9,4,1,0,0,21,0,0,29,23,1
96,15,2,2,1,0,3,0,0,16,36,0
71,14,3,1,5,0,0,0,0,3,24,1
84,11,3,1,3,0,0,0,0,0,22,0
91,16,2,3,2,0,2,1,1,19,37,0
108,10,3,2,0,0,0,9,1,4,30,0
87,15,3,1,0,0,0,0,0,21,29,0
87,15,3,1,8,0,0,0,0,5,28,0
81,9,4,1,0,0,21,0,0,29,24,1
63,9,4,1,0,0,15,0,0,18,21,1
107,10,3,2,0,0,0,9,1,4,31,0
93,10,2,2,0,0,0,2,1,31,35,0
150,12,3,13,0,0,0,1,1,28,41,0
85,14,3,2,6,0,0,0,0,10,30,0
125,19,6,4,10,0,0,0,0,8,28,0
74,14,3,4,0,0,0,1,1,9,24,1
85,12,3,1,11,0,0,0,0,10,32,0
122,10,2,2,8,0,2,5,1,13,35,0
107,13,3,1,8,0,0,0,0,46,34,0
117,7,3,1,14,0,0,0,0,6,30,0
91,10,3,1,8,0,0,0,0,8,30,0
81,9,4,1,0,0,21,0,0,27,24,1
86,6,2,1,10,0,0,0,0,11,31,1
125,15,3,1,11,0,0,1,1,8,33,0
92,12,3,1,8,0,0,0,0,0,25,0
