URLLength,HostLength,TLDLength,DotCount,DashCount,AtSymbolCount,PercentSymbolCount,EqualsSymbolCount,QuestionMarkCount,DigitCount,UniqueCharCount
132,14,3,1,14,0,0,0,0,8,31
74,9,4,1,0,0,18,0,0,21,21
101,13,2,2,15,0,0,0,0,6,26
97,14,3,1,4,0,0,0,0,6,31
87,15,3,1,0,0,0,0,0,18,28
87,15,3,3,1,0,0,4,1,16,38
102,14,3,2,6,0,0,0,0,8,30
97,8,3,1,15,0,0,0,0,6,29
91,17,6,3,8,0,0,0,0,9,26
108,10,3,2,0,0,0,9,1,4,29
96,10,3,1,5,0,0,0,0,30,33
88,10,3,1,12,0,0,0,0,9,35
85,9,3,1,8,0,0,0,0,7,30
65,11,3,2,0,0,0,0,0,18,29
93,10,2,2,0,0,0,2,1,31,35
81,20,9,3,2,0,0,1,1,3,28
99,9,4,1,0,0,27,0,0,32,24
90,9,4,1,0,0,24,0,0,30,22
72,9,4,1,0,0,18,0,0,18,24
86,13,6,2,0,0,0,0,0,9,31
90,9,4,1,0,0,24,0,0,27,25
73,21,6,4,0,0,0,0,0,0,25
110,7,2,1,0,0,0,8,1,15,31
157,125,3,1,0,1,40,0,0,47,36
92,16,3,1,0,0,21,0,0,25,25
119,15,6,2,9,0,0,0,0,0,23
143,12,3,2,7,0,0,3,1,10,35
91,15,6,2,8,0,0,0,0,0,21
138,13,3,1,18,0,0,0,0,1,25
131,15,2,4,1,0,7,0,0,22,43
139,7,3,1,2,0,33,0,0,50,32
281,11,3,2,1,0,65,1,1,90,48
87,15,3,1,0,0,0,0,0,22,28
69,9,4,1,0,0,16,0,0,22,22
95,6,2,2,5,0,0,0,0,1,24
108,7,3,1,13,0,0,0,0,6,29
129,13,3,2,0,0,0,5,1,27,34
183,7,3,1,2,0,48,0,0,62,35
85,10,3,1,8,0,0,0,0,6,29
70,16,3,3,1,0,2,0,0,8,30
92,10,6,2,9,0,0,0,0,0,24
95,12,3,1,11,0,0,0,0,8,30
67,13,3,2,0,0,0,3,1,3,31
84,9,3,3,0,0,8,0,0,9,29
111,18,3,1,11,0,0,0,0,9,29
88,13,2,2,10,0,0,0,0,6,28
92,14,3,1,11,0,0,0,0,9,30
129,13,3,2,0,0,0,5,1,27,34
101,11,2,2,7,0,0,1,1,3,25
84,12,3,1,3,0,0,0,0,11,33
96,8,3,1,9,0,0,0,0,6,30
87,15,3,1,0,0,0,0,0,21,28
89,9,2,2,9,0,0,0,0,19,30
66,14,3,1,4,0,0,0,0,3,24
91,8,3,1,9,0,0,0,0,7,27
99,9,4,1,0,0,27,0,0,31,25
121,15,3,1,11,0,0,1,1,8,35
85,10,3,1,8,0,0,0,0,6,29
94,9,3,1,6,0,0,2,1,18,39
106,12,2,2,2,0,0,0,0,5,36
158,12,3,12,0,0,2,1,1,34,42
92,14,3,3,0,0,0,2,1,20,35
87,15,3,1,0,0,0,0,0,21,29
108,9,3,1,7,0,0,2,1,16,37
69,14,3,8,2,0,0,1,1,14,30
66,11,3,2,0,0,0,4,1,2,25
88,13,3,2,10,0,0,0,0,7,28
92,14,3,3,0,0,0,2,1,20,35
109,15,2,10,0,0,0,0,0,8,30
110,14,3,1,8,0,0,0,0,13,28
117,15,2,9,2,0,2,0,0,22,39
89,7,3,1,9,0,0,0,0,11,30
102,10,2,2,13,0,0,0,0,13,32
67,14,3,3,0,0,0,2,1,6,31
169,15,3,2,1,0,4,2,1,9,44
93,10,3,1,10,0,0,0,0,4,27
123,12,2,1,0,0,33,0,0,32,26
105,11,5,2,15,0,0,0,0,17,34
90,15,3,1,9,0,0,0,0,8,30
83,13,3,2,1,0,0,8,1,19,29
72,21,6,4,0,0,0,0,0,0,25
105,13,3,2,5,0,0,1,1,17,33
131,6,2,1,8,0,0,0,0,8,32
100,16,2,1,0,0,0,0,0,0,24
117,6,3,1,13,0,0,0,0,6,33
87,6,3,1,6,0,0,0,0,6,26
90,9,4,1,0,0,24,0,0,29,21
103,13,2,1,7,0,0,0,0,4,27
117,13,3,1,1,0,0,3,1,49,40
